#OTU_ID,Kingdom,Phyla,Class,Order,Family,Genus,Species,Strain
41947a7281ed1a36be86fa732db23c21,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,,41947a7281ed1a36be86fa732db23c21
5bea91f9fa02893675cc465d0856bd4a,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,,5bea91f9fa02893675cc465d0856bd4a
69b6227aebc074b6ff22c5b0ef6db10e,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,,69b6227aebc074b6ff22c5b0ef6db10e
c908e8f6f16f1547f4f22497d3654d96,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,,c908e8f6f16f1547f4f22497d3654d96
022b54042aa9e01487c9da3b1df42d0a,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna,,022b54042aa9e01487c9da3b1df42d0a
c22f0dffcd7896cfe488931dc613b83d,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna,,c22f0dffcd7896cfe488931dc613b83d
c68f37fe8504ce3ff3507025d70ebb09,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna,,c68f37fe8504ce3ff3507025d70ebb09
20520e04af1334c06a6abe36007a30f7,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,20520e04af1334c06a6abe36007a30f7
3b4ba5521777c159a7231e42cfb9cc70,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,3b4ba5521777c159a7231e42cfb9cc70
427f6efc284294cdfbbae5a410b23f53,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,427f6efc284294cdfbbae5a410b23f53
4dffc7b7b7c90471d78c6753766e7fdb,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,4dffc7b7b7c90471d78c6753766e7fdb
50e916302bae837031062e20ddb1cafa,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,50e916302bae837031062e20ddb1cafa
b37edbdb067bd3b50d836d73a0fc65f2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,b37edbdb067bd3b50d836d73a0fc65f2
cc3331b46b12e0a7e288d88da854100f,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,cc3331b46b12e0a7e288d88da854100f
e7c7e38d069ef1442e1874bbe6055995,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,,e7c7e38d069ef1442e1874bbe6055995
22a4fe2f9a171f5922b52732c957210e,Bacteria,Actinobacteria,Actinobacteria,PeM15,,,,22a4fe2f9a171f5922b52732c957210e
2b9d7de7eb6dbb007474ef699d3eb6c9,Bacteria,Actinobacteria,Actinobacteria,PeM15,,,,2b9d7de7eb6dbb007474ef699d3eb6c9
8cf6e957bce4ce45d43f9fa83398b3b3,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovastum,,8cf6e957bce4ce45d43f9fa83398b3b3
135cc70b3483ad0c2bf0446ff36e4672,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,,135cc70b3483ad0c2bf0446ff36e4672
0ce0e46d1eae483e03a86e4a5d83a99b,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,0ce0e46d1eae483e03a86e4a5d83a99b
4037844a14dc5023f7eb626adbc08513,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,4037844a14dc5023f7eb626adbc08513
71983fbb22406601b15dada8a9216454,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,71983fbb22406601b15dada8a9216454
88fc69b86967c9be5c2ac8f06893fd3d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,88fc69b86967c9be5c2ac8f06893fd3d
8cd311df7391bd12f14ee1395d381654,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,8cd311df7391bd12f14ee1395d381654
904de3f7e217e9a1104789a1bea53895,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,904de3f7e217e9a1104789a1bea53895
a0f16db1c01edbc4858c2ede01ee1299,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,a0f16db1c01edbc4858c2ede01ee1299
a5d66f3088063a6df71bb28f8f7453bc,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,a5d66f3088063a6df71bb28f8f7453bc
ac737fec473999533b5e55056d68e057,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,ac737fec473999533b5e55056d68e057
cd46cd2c1b1ac10b10ba4e5e9b8f89b4,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,cd46cd2c1b1ac10b10ba4e5e9b8f89b4
de35004d3cb5a3b207bfd5643eea7996,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,de35004d3cb5a3b207bfd5643eea7996
de8a250b4bbf1059ee6d6cd71b614293,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,de8a250b4bbf1059ee6d6cd71b614293
dee8fe0849601540ad8c26086a4500eb,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,dee8fe0849601540ad8c26086a4500eb
ea8a3f13d9cfae3c00b60ebc10c40042,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,ea8a3f13d9cfae3c00b60ebc10c40042
3736cfafc2891d7bed702c354916ed20,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp. TS18,3736cfafc2891d7bed702c354916ed20
01dd41ef9622858980c4faf45939545e,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,01dd41ef9622858980c4faf45939545e
07aea6acdfc78f6731370a96da18a54d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,07aea6acdfc78f6731370a96da18a54d
08545992ff65f223c7966d6526129c63,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,08545992ff65f223c7966d6526129c63
0b82214b137b6c7722b2b893b612be7d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,0b82214b137b6c7722b2b893b612be7d
0c8e908642880ed990c60aac3204f9b7,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,0c8e908642880ed990c60aac3204f9b7
148dd983509497c264027e0fcfac9ec1,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,148dd983509497c264027e0fcfac9ec1
17c6fcd6acea032d38246d6d7065b32d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,17c6fcd6acea032d38246d6d7065b32d
1d9602c5664f60a26f7baacea54247c4,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,1d9602c5664f60a26f7baacea54247c4
21906cd86f16930af27889d17e94ee8f,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,21906cd86f16930af27889d17e94ee8f
23c2e1f6651034bc95bfd31103af8b12,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,23c2e1f6651034bc95bfd31103af8b12
2656463b76c23e6ca6571c2a507e5187,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,2656463b76c23e6ca6571c2a507e5187
2af3dc7ccca22c1d4ec72366098319bd,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,2af3dc7ccca22c1d4ec72366098319bd
3235614499cf9ef569a3a96f65c12f2a,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,3235614499cf9ef569a3a96f65c12f2a
337b9aed188d77a1d5f56dd8ab11f582,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,337b9aed188d77a1d5f56dd8ab11f582
39447b898ad770db12c3b56ef71df3c2,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,39447b898ad770db12c3b56ef71df3c2
3a00cf6593a2332b917b6dadf047e878,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,3a00cf6593a2332b917b6dadf047e878
3a904cd1164c9c95c54bdd5476cd0d23,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,3a904cd1164c9c95c54bdd5476cd0d23
475d916607c17cf280ae2cd677949127,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,475d916607c17cf280ae2cd677949127
4874d4b894e03d6bef5525cb9ac9c6e1,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,4874d4b894e03d6bef5525cb9ac9c6e1
48bdf286d8cbbc620636ee3c4ecabde0,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,48bdf286d8cbbc620636ee3c4ecabde0
5490625cb3bd670505f3e667b0c00450,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,5490625cb3bd670505f3e667b0c00450
55079267df9646df2cbef66748809656,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,55079267df9646df2cbef66748809656
57bb9129c8b3c00318fdce98c25a6c78,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,57bb9129c8b3c00318fdce98c25a6c78
5b1160b594041896cd28273b3b0fe0eb,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,5b1160b594041896cd28273b3b0fe0eb
6bcc708b0168c936417c629e8cf95bc3,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,6bcc708b0168c936417c629e8cf95bc3
75ec8cc07d66160030219d7711ca1c4e,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,75ec8cc07d66160030219d7711ca1c4e
7cd27ed0062a1e61ee6e24762b23cf3b,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,7cd27ed0062a1e61ee6e24762b23cf3b
7d0628ce702bce1319e2e032266904e6,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,7d0628ce702bce1319e2e032266904e6
88052eda7545c69c0caeabb656ea5ed7,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,88052eda7545c69c0caeabb656ea5ed7
8b265ff407559c621974ee02a4e53b8e,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,8b265ff407559c621974ee02a4e53b8e
932fb85ed8febeb4f809b4d876048e15,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,932fb85ed8febeb4f809b4d876048e15
993329031b860f4f4650b187c4daef67,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,993329031b860f4f4650b187c4daef67
9acbcd6645ccbd1d3a8ed0d5f328171a,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,9acbcd6645ccbd1d3a8ed0d5f328171a
9efb363e587b89fa12e5723d5c891d8a,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,9efb363e587b89fa12e5723d5c891d8a
ae30162caad9a830d807cbb38f58e7b8,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,ae30162caad9a830d807cbb38f58e7b8
af372eb423d114d2b1e3b0e68ee8f556,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,af372eb423d114d2b1e3b0e68ee8f556
b29038b94e7553162a016d6579a0e464,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,b29038b94e7553162a016d6579a0e464
bbddf4111ecbd4e9cc99d1ecb76d012e,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,bbddf4111ecbd4e9cc99d1ecb76d012e
ce2cb05c5fddfef3883e7cf1e0ba256d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,ce2cb05c5fddfef3883e7cf1e0ba256d
d3d3361bec76e51ba8e9c01c4c5837e7,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,d3d3361bec76e51ba8e9c01c4c5837e7
d8c9f526f657fafee7ecae3c5301111d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,d8c9f526f657fafee7ecae3c5301111d
da2ac72453e79469f0d79c090f1ea882,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,da2ac72453e79469f0d79c090f1ea882
e0c7b98afe6536083cc450695651a48c,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,e0c7b98afe6536083cc450695651a48c
e39407efd25d2a154b223c89cad9c56d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,e39407efd25d2a154b223c89cad9c56d
ed39574eb90b2b6dcd467b964f867799,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,ed39574eb90b2b6dcd467b964f867799
f4e408d18fd69c41f35cbdc0c4d85637,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,,f4e408d18fd69c41f35cbdc0c4d85637
a42b5f23dd69cfa4182fbc63f83db722,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,,a42b5f23dd69cfa4182fbc63f83db722
2417497ecaf67d86aa65d9525faf4dae,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,,,2417497ecaf67d86aa65d9525faf4dae
4f679f93179860c2f1dde797a6740e85,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,,,4f679f93179860c2f1dde797a6740e85
d65226de9c336c5d573a734cc7ddba91,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,Caedibacter,uncultured Caedibacter sp.,d65226de9c336c5d573a734cc7ddba91
56680a6ccfd506463b02a2a23bf69b6f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,,56680a6ccfd506463b02a2a23bf69b6f
62231c339f5cd01c5fe4c9a4cd096510,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,62231c339f5cd01c5fe4c9a4cd096510
b7821c704a85be706c5274dea77e7b73,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,b7821c704a85be706c5274dea77e7b73
c240045d17f431dc1cb2e1786d1819ff,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,c240045d17f431dc1cb2e1786d1819ff
e119f7be42195a5cdd8ae66882ca7cc4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,e119f7be42195a5cdd8ae66882ca7cc4
ec514968d11235de2b40418e0f879cb7,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,,ec514968d11235de2b40418e0f879cb7
0192d35805b5f9fd47acd1706543dd73,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,0192d35805b5f9fd47acd1706543dd73
2b8dd63310545a427e0d3c02173aa034,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,2b8dd63310545a427e0d3c02173aa034
8d4564c4d6d83bf1c78300e8386fc68c,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,8d4564c4d6d83bf1c78300e8386fc68c
9cc5d83b2a8aa8e512cc019e3b651b30,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,,9cc5d83b2a8aa8e512cc019e3b651b30
1a6930b42444ae39206ed16d9a37a0ef,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,1a6930b42444ae39206ed16d9a37a0ef
2b621d9d0c2e747b6e1f15288f187e7e,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,2b621d9d0c2e747b6e1f15288f187e7e
5e5fcbd55d0566f701c070d9a4e3ebb4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,5e5fcbd55d0566f701c070d9a4e3ebb4
a8b09a94d8465bebffbe70f933277d30,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,a8b09a94d8465bebffbe70f933277d30
daf4324e032cb452bc7c767f4b20b3e5,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,,daf4324e032cb452bc7c767f4b20b3e5
e1cf5794d1d81f146146fe7cc47c6830,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,uncultured bacterium,e1cf5794d1d81f146146fe7cc47c6830
317eb3a0a46065412a78b4fc29d6ff8e,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,317eb3a0a46065412a78b4fc29d6ff8e
40d1e7a9fa9addde0f9299b62d6aad31,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,40d1e7a9fa9addde0f9299b62d6aad31
52324741b38181690190c7ca147c071c,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,52324741b38181690190c7ca147c071c
57b25a565f03f3b74e32ed1024881c91,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,57b25a565f03f3b74e32ed1024881c91
5b0fb02614a478d105d5dd9deddde76e,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,5b0fb02614a478d105d5dd9deddde76e
63e06c319024d3d76a061a790553ade1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,63e06c319024d3d76a061a790553ade1
67ca51316eef6b2c724576f1784f8fcd,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,67ca51316eef6b2c724576f1784f8fcd
a062138e7b41618a1f88c367f5f6bcbd,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,a062138e7b41618a1f88c367f5f6bcbd
c7d5a0b6f33de55db33b5cf13f49da1f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,c7d5a0b6f33de55db33b5cf13f49da1f
f6c382865600ee5a4d1fd87f17ed1e26,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis,,f6c382865600ee5a4d1fd87f17ed1e26
e0eee20e428bf1f5751c84a93c72ec25,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Ponticaulis,,e0eee20e428bf1f5751c84a93c72ec25
f2704b4e3b69578720fa157efc0877fc,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,UKL13-1,Ambiguous_taxa,f2704b4e3b69578720fa157efc0877fc
4233eee1475166535ec1d69bf9366243,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Candidatus Gortzia,,4233eee1475166535ec1d69bf9366243
a05c75790639c3704f4e5f59ffb6aeeb,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,uncultured,uncultured organism,a05c75790639c3704f4e5f59ffb6aeeb
25f89784c75aa5dc22a59f5756b2e5d9,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,uncultured,,25f89784c75aa5dc22a59f5756b2e5d9
950652f0111be8613873a4838dfc663e,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,,950652f0111be8613873a4838dfc663e
1336275a8f181e4fd9f19f8750f83085,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured bacterium,1336275a8f181e4fd9f19f8750f83085
b21c9ea2f37b02f733a32d18e3f1e9bc,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured bacterium,b21c9ea2f37b02f733a32d18e3f1e9bc
33fb59563aa9124867cd40fafb760e73,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured organism,33fb59563aa9124867cd40fafb760e73
38b57477109166e1eda1bc2493f466a1,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,,38b57477109166e1eda1bc2493f466a1
207ddc48c7424f44f143b720bb345759,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,Alphaproteobacteria bacterium CG1_02_46_17,Alphaproteobacteria bacterium CG1_02_46_17,207ddc48c7424f44f143b720bb345759
870bcdfed1a1d4a6218d5ffc429737a6,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,uncultured Rhizobiales bacterium,uncultured Rhizobiales bacterium,870bcdfed1a1d4a6218d5ffc429737a6
c2fb433712faf3c2302c080ee73671a7,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,,,c2fb433712faf3c2302c080ee73671a7
c8e5cf213b137c05acd8b1dcc8e555fc,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,uncultured,,,c8e5cf213b137c05acd8b1dcc8e555fc
04b7ce942fbfa7840cf019946d56dd66,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Captivus,uncultured bacterium,04b7ce942fbfa7840cf019946d56dd66
20beb9b1bf6804cd8b168a22caf748e2,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Paracaedibacter,,20beb9b1bf6804cd8b168a22caf748e2
26c88627ada16eb3e52ca89c896649bd,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Paracaedibacter,,26c88627ada16eb3e52ca89c896649bd
3f9e3d3eb95d2c47f608811a248a751c,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Paracaedibacter,,3f9e3d3eb95d2c47f608811a248a751c
25755f4999ebe51ddb01d0756f452029,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,Ambiguous_taxa,25755f4999ebe51ddb01d0756f452029
74a7709348259aa3252c6c300474c0f7,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured,Ambiguous_taxa,74a7709348259aa3252c6c300474c0f7
