#OTU ID	Treatment	MC	B_C	TP	col	pch	Timepoint	POC	Atomic_C
EthTC4	Ethanol	MC3-Eth	Chemostat	4	#6870c8	23	37.5		
EthTC5	Ethanol	MC3-Eth	Chemostat	5	#6870c8	23	38.5		
EthTC7	Ethanol	MC3-Eth	Chemostat	7	#6870c8	23	40.5	455.8980423	16.80701078
EthTC10	Ethanol	MC3-Eth	Chemostat	10	#6870c8	23	43.5		
EthTC14	Ethanol	MC3-Eth	Chemostat	14	#6870c8	23	47.5	356.9527315	14.25423589
AceTB0	Acetate	MC4-Ace	Batch	0	#56ae6c	21	0.5	79.30595287	1.287858797
AceTB1	Acetate	MC4-Ace	Batch	1	#56ae6c	21	1.5	182.0638352	2.754455191
AceTB2	Acetate	MC4-Ace	Batch	2	#56ae6c	21	2.5	425.9370055	18.02143244
AceTB3	Acetate	MC4-Ace	Batch	3	#56ae6c	21	3.5	294.6147686	18.27215569
AceTB4	Acetate	MC4-Ace	Batch	4	#56ae6c	21	4.5	347.8718234	11.83007424
AceTB5	Acetate	MC4-Ace	Batch	5	#56ae6c	21	5.5	257.6074535	12.14673214
AceTC0	Acetate	MC4-Ace	Chemostat	0	#56ae6c	23	33.5	849.2667207	2.897644028
AceTC1	Acetate	MC4-Ace	Chemostat	1	#56ae6c	23	34.5	932.9337086	9.268536534
AceTC2	Acetate	MC4-Ace	Chemostat	2	#56ae6c	23	35.5	818.1667695	11.66670168
AceTC3	Acetate	MC4-Ace	Chemostat	3	#56ae6c	23	36.5	754.1340993	12.82862774
AceTC4	Acetate	MC4-Ace	Chemostat	4	#56ae6c	23	37.5		
AceTC5	Acetate	MC4-Ace	Chemostat	5	#56ae6c	23	38.5		
AceTC7	Acetate	MC4-Ace	Chemostat	7	#56ae6c	23	40.5	618.7718613	14.46916978
AceTC10	Acetate	MC4-Ace	Chemostat	10	#56ae6c	23	43.5		
AceTC14	Acetate	MC4-Ace	Chemostat	14	#56ae6c	23	47.5	806.8459324	15.57159461
GluTB0	Glucose	MC5-Glu	Batch	0	#af953c	21	0.5	68.54032924	1.764497055
GluTB1	Glucose	MC5-Glu	Batch	1	#af953c	21	1.5	136.9201561	2.741581403
GluTB2	Glucose	MC5-Glu	Batch	2	#af953c	21	2.5	428.7777777	27.31805719
GluTB3	Glucose	MC5-Glu	Batch	3	#af953c	21	3.5	306.9102998	20.72567665
GluTB4	Glucose	MC5-Glu	Batch	4	#af953c	21	4.5	310.0510184	16.42021114
GluTB5	Glucose	MC5-Glu	Batch	5	#af953c	21	5.5	217.1481135	9.761341304
GluTC0	Glucose	MC5-Glu	Chemostat	0	#af953c	23	33.5	714.9351314	2.191716598
GluTC1	Glucose	MC5-Glu	Chemostat	1	#af953c	23	34.5	633.3579819	13.65446259
GluTC2	Glucose	MC5-Glu	Chemostat	2	#af953c	23	35.5	727.9982526	16.10429641
GluTC3	Glucose	MC5-Glu	Chemostat	3	#af953c	23	36.5	628.9607489	20.11581805
GluTC4	Glucose	MC5-Glu	Chemostat	4	#af953c	23	37.5		
GluTC5	Glucose	MC5-Glu	Chemostat	5	#af953c	23	38.5		
GluTC7	Glucose	MC5-Glu	Chemostat	7	#af953c	23	40.5	338.35403	24.43746273
GluTC10	Glucose	MC5-Glu	Chemostat	10	#af953c	23	43.5		
GluTC14	Glucose	MC5-Glu	Chemostat	14	#af953c	23	47.5	516.2342253	21.17929396
GluT18	Glucose	MC5-Glu	NA	18	#af953c	22	18		
GluT25	Glucose	MC5-Glu	NA	25	#af953c	22	25		
XylTB0	Xylose	MC6-Xyl	Batch	0	#ba4a4f	21	0.5	107.8358881	1.731055484
XylTB1	Xylose	MC6-Xyl	Batch	1	#ba4a4f	21	1.5	111.0714538	1.800801688
XylTB2	Xylose	MC6-Xyl	Batch	2	#ba4a4f	21	2.5	366.5707563	9.811330159
XylTB3	Xylose	MC6-Xyl	Batch	3	#ba4a4f	21	3.5	308.2154551	23.12392895
XylTB4	Xylose	MC6-Xyl	Batch	4	#ba4a4f	21	4.5	290.9817195	13.54861516
XylTB5	Xylose	MC6-Xyl	Batch	5	#ba4a4f	21	5.5	208.8018072	15.31833043
XylTC0	Xylose	MC6-Xyl	Chemostat	0	#ba4a4f	23	33.5	453.826906	2.751365754
XylTC1	Xylose	MC6-Xyl	Chemostat	1	#ba4a4f	23	34.5	488.5821551	18.16448708
XylTC2	Xylose	MC6-Xyl	Chemostat	2	#ba4a4f	23	35.5	665.2456115	15.5434831
XylTC3	Xylose	MC6-Xyl	Chemostat	3	#ba4a4f	23	36.5	494.1053936	16.20357604
XylTC4	Xylose	MC6-Xyl	Chemostat	4	#ba4a4f	23	37.5		
XylTC5	Xylose	MC6-Xyl	Chemostat	5	#ba4a4f	23	38.5		
XylTC7	Xylose	MC6-Xyl	Chemostat	7	#ba4a4f	23	40.5	441.0632015	19.37689322
XylTC10	Xylose	MC6-Xyl	Chemostat	10	#ba4a4f	23	43.5		
XylTC14	Xylose	MC6-Xyl	Chemostat	14	#ba4a4f	23	47.5	720.7613745	17.63349963
Pond1	Pond	NA	NA	0	black	24	NA		
Pond2	Pond	NA	NA	0	black	24	NA		
