,,Kingdom,Phyla,Class,Order,Family,Genus,Species,Strain,,,,Strai,,,,,,,
27,96c756a8bbb8ea9aaba180b9a5fd6444,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,96c756a8bbb8ea9aaba180b9a5fd6444,#9662dc,,,96c75,Gammaproteobacteria Xanthomonadaceae ASV 96c75,,,,,,
28,9906c629d9eba14db577c3ec338afafe,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,9906c629d9eba14db577c3ec338afafe,#bf88da,,,9906c,Gammaproteobacteria Rhodocyclaceae ASV 9906c,,,,,,
29,c4debfffb5552abc5445848e898e9b3b,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,c4debfffb5552abc5445848e898e9b3b,#b344b8,,,c4deb,Gammaproteobacteria Methylotenera ASV c4deb,,,,,,
30,c7d5a0b6f33de55db33b5cf13f49da1f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,c7d5a0b6f33de55db33b5cf13f49da1f,#e18c2b,,,c7d5a,Alphaproteobacteria Hyphomonas ASV c7d5a,,,,,,
31,c896f589fe8122f53922dec0f3b818cd,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,c896f589fe8122f53922dec0f3b818cd,#dd9f54,,,c896f,Alphaproteobacteria  ASV c896f,,,,,,
32,cae834c0c8ece68298a10b0d9ef11ed6,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured organism,cae834c0c8ece68298a10b0d9ef11ed6,#627037,,,cae83,Bacteroidia Cryomorphaceae ASV cae83,,,,,,
33,daa79e85e79ce738671891283821b23d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,,daa79e85e79ce738671891283821b23d,#d4a771,,,daa79,Alphaproteobacteria Pseudorhodobacter ASV daa79,,,,,,
34,dfa4024993b2772bac9172cae6b7ce33,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,dfa4024993b2772bac9172cae6b7ce33,#934993,,,dfa40,Gammaproteobacteria Methylotenera ASV dfa40,,,,,,
35,e96be20c155b93c31a23ea5cc2fd01cd,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,,e96be20c155b93c31a23ea5cc2fd01cd,#e273d2,,,e96be,Gammaproteobacteria Methylophilus ASV e96be,,,,,,
36,efc35a2abf6cf34053250ba69f3779d1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Zoogloea,uncultured Rhodocyclaceae bacterium,efc35a2abf6cf34053250ba69f3779d1,#bb6da1,,,efc35,Gammaproteobacteria Zoogloea ASV efc35,,,,,,
37,f19bad1c62889e65ce10b474d217ad40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,f19bad1c62889e65ce10b474d217ad40,#886b2c,,,f19ba,Alphaproteobacteria Rhodobacteraceae ASV f19ba,,,,,,
38,f7e8ddeb6d6ab6d068f03cc6cdd317a2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oceanobacter,,f7e8ddeb6d6ab6d068f03cc6cdd317a2,#914574,,,f7e8d,Gammaproteobacteria Oceanobacter ASV f7e8d,,,,,,
39,fbc540eeabaebbbcb4e9ebecfaf2f073,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,uncultured soil bacterium,uncultured soil bacterium,fbc540eeabaebbbcb4e9ebecfaf2f073,#87bb37,,,fbc54,Bacteroidia NS11-12 marine group ASV fbc54,,,,,,
40,fbc59ceaed3195e704bfa8c234e92efe,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus Aquirestis,,fbc59ceaed3195e704bfa8c234e92efe,#4c902c,,,fbc59,Bacteroidia Candidatus Aquirestis ASV fbc59,,,,,,
41,fc169a62076539bcbb44364586da6a81,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,,fc169a62076539bcbb44364586da6a81,#e78eb9,,,fc169,Gammaproteobacteria Methylophilus ASV fc169,,,,,,
42,fe8ecaf6c385a878bee7096c51125295,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,fe8ecaf6c385a878bee7096c51125295,#4cc65a,,,fe8ec,Campylobacteria Arcobacter ASV fe8ec,,,,,,
,,,,,,,,,,,,,,,,,,,,
